ID,Typ,Bereich,Titel,Beschreibung,Schwere,Status
B1,Bug,Interior/UI,Waypoint zeigt riesige Distanz im Haus,Im Innenraum rechnet der Wegweiser auf den weit entfernten Spawn/Bett (~50k) statt ihn auszublenden,Mittel,behoben v205
B2,Bug,Truhe/MP,Truhen-Inhalt client-autoritativ,Client pusht kompletten Slot-Array an Server ohne Validierung/Lock -> Dupe oder Item-Verlust bei gleichzeitigem Zugriff,Hoch,behoben v205
B3,Bug,Survival,Verhungern fuehrt zu Leben=0 ohne Tod,Hunger 0 senkt Leben auf 0 aber death_respawn ist aus -> Leben bleibt bei 0 haengen (kein Tod/Respawn),Hoch,behoben v205
B4,Bug,Survival,Keine Lebens-Regeneration,health_regen aus -> Magier-Schaden bleibt dauerhaft; Leben sinkt nur je,Mittel,behoben v205
B5,Bug,Survival,Toter Respawn-Code,survival_needs._respawn() setzt nur Werte zurueck und teleportiert nicht (doppelt zu player.respawn),Niedrig,behoben v205
B6,Bug,Wartung,Feature-Flags veraltet,fishing/farming_growth/weather/skills_xp stehen auf false laufen aber ungated -> irrefuehrend,Niedrig,behoben v211
B7,Bug,Gegner/MP,Magier nur lokal,Jeder Client hat eigenen Magier; Schaden und Kill werden nicht synchronisiert,Mittel,System gebaut aber DEAKTIVIERT v213 (Nutzerwunsch: noch nicht ins Spiel)
B8,Bug,Interior,Waende im Editor nicht am Grid,Optik im Editor verrutscht (Ebenen-Stapelung fehlt in der Vorschau),Niedrig,kosmetisch (Editor-Vorschau; Gameplay korrekt)
L1,Luecke,Gegner,Nur ein Magier ohne Respawn/Loot,Genau ein Magier nahe Spawn einmal toetbar dann weg; keine Beute -> kaum Gegner-Content,Mittel,System gebaut aber DEAKTIVIERT v213 (enemy_sync.ENABLED=false)
L2,Luecke,Tiere,Rehe nicht jagdbar,Rehe haben keinen Schaden/Fleisch-Drop -> reine Deko,Mittel,offen
L3,Luecke,Crafting,Gold-Werkzeuge nicht craftbar,altin-Sammel-/Schmelzkette unvollstaendig -> keine Gold-Tools,Mittel,behoben v214 (fehlender Griff islenmis_sopa craftbar -> ganze Kette komplett)
L4,Luecke,Survival,Kein echtes Tod-System,Respawn ist nur Werte-Reset: kein Item-Verlust keine Strafe kein fester Ort,Mittel,offen
L5,Luecke,Interior,Ein gemeinsames Innenraum-Layout,Alle Huetten teilen dasselbe Layout; keine Zuordnung Haus<->Raum keine Moebel/Truhe drin,Mittel,offen
L6,Luecke,Interior,Ausloggen im Haus nicht persistiert,Wer im Haus ausloggt wird zum Spawn gerettet statt im Raum zu bleiben,Niedrig,offen
L7,Luecke,Bauwerk,Baraka blockiert alle 16 Felder,Physisch nicht begehbar; Tuer der Aussen-Grafik hat keine Funktion,Niedrig,offen
L8,Luecke,Roadmap,Viele Systeme dormant,Durst/Temperatur/Muedigkeit/Krankheit/Jahreszeiten/Quests/Waehrung sind eingebaut aber aus,Info,offen
L9,Luecke,Schmelzen,Schmelzkette unvollstaendig,Manche Erze/Barren nicht verhuettbar; Ton(kil)-Kette teils offen,Mittel,behoben v214 (Schmelzen war schon da; Griff fehlte)
L10,Luecke,UX,Essen nur per F ohne Hinweis,Kein sichtbarer Hinweis wie man isst; Saettigungswert unklar,Niedrig,offen
L11,Luecke,Client,Renderer/Bloom braucht Client-Neubau,game.pck aktualisiert Renderer nicht -> Grafik-Updates erst nach neuem Setup,Info,offen
